Nama Dokter,Rumah Sakit,Latitude,Longitude,Alamat,dokterRS
"dr. Arisya Agita, Sp.JP",RS Mitra Keluarga Kenjeran,-7.2513324,112.7849887,"Mulyorejo, Kota Surabaya","dr. Arisya Agita, Sp.JP - RS Mitra Keluarga Kenjeran"
"dr. Aron Husink, Sp.JP, FIHA",RS Mitra Keluarga Bintaro,-6.2711229,106.74099,"Pondok Aren, Tangerang Selatan","dr. Aron Husink, Sp.JP, FIHA - RS Mitra Keluarga Bintaro"
"dr. Aulia Sjawal, Sp.JP (K)",Siloam Hospitals Sriwijaya Palembang,-2.9777701,104.7423333,"Ilir Barat I, Kota Palembang","dr. Aulia Sjawal, Sp.JP (K) - Siloam Hospitals Sriwijaya Palembang"
"dr. Ayuthia Putri Sedyawan, Sp.JP",Siloam Hospitals ASRI,-6.254559,106.8323692,"Pancoran, Jakarta Selatan","dr. Ayuthia Putri Sedyawan, Sp.JP - Siloam Hospitals ASRI"
"dr. Bagus Ari Pradnyana Dwi Sutanegara, Sp.JP, FIHA",Siloam Hospitals Denpasar,-8.7150402,115.1854235,"Kuta, Kabupaten Badung","dr. Bagus Ari Pradnyana Dwi Sutanegara, Sp.JP, FIHA - Siloam Hospitals Denpasar"
"dr. Bambang Herwanto, Sp.JP, FIHA",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Bambang Herwanto, Sp.JP, FIHA - Siloam Hospitals Surabaya"
"dr. Benny Mulyanto Setiadi, Sp.JP (K), FIHA",Siloam Hospitals Manado,14.876272,124.8376054,"Wenang, Kota Manado","dr. Benny Mulyanto Setiadi, Sp.JP (K), FIHA - Siloam Hospitals Manado"
"dr. Bobby Sanders, Sp.JP, FIHA",Siloam Hospitals Agora,-6.1673487,106.8760195,"Cempaka Putih, Jakarta Pusat","dr. Bobby Sanders, Sp.JP, FIHA - Siloam Hospitals Agora"
"dr. Bona Dwiramajaya Hartoyo, Sp.JP",RS Mitra Keluarga Cibubur,-6.3755807,106.9184165,"Jatisampurna, Bekasi","dr. Bona Dwiramajaya Hartoyo, Sp.JP - RS Mitra Keluarga Cibubur"
"dr. Budi Ario Tejo, Sp.JP, FIHA",Siloam Hospitals TB Simatupang,-6.2922669,106.7844429,"Cilandak, Jakarta Selatan","dr. Budi Ario Tejo, Sp.JP, FIHA - Siloam Hospitals TB Simatupang"
"dr. Budiyanto Nagawidjadja, Sp.JP",RS Mitra Keluarga Kelapa Gading,-6.1520316,106.8973623,"Kelapa Gading, Jakarta Utara","dr. Budiyanto Nagawidjadja, Sp.JP - RS Mitra Keluarga Kelapa Gading"
"dr. Christiani Muljono, Sp.JP",Siloam Hospitals Balikpapan,-1.25224,116.87031,"Balikpapan Selatan, Kota Balikpapan","dr. Christiani Muljono, Sp.JP - Siloam Hospitals Balikpapan"
"dr. Dimas Rio Balti, Sp.JP., FIHA",RS Mitra Keluarga Pondok Tjandra,-7.3445793,112.775427,"Waru, Kabupaten Sidoarjo","dr. Dimas Rio Balti, Sp.JP., FIHA - RS Mitra Keluarga Pondok Tjandra"
"dr. Djoko Maryono, Sp.JP, FIHA, FACC",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Djoko Maryono, Sp.JP, FIHA, FACC - Mayapada Hospital Jakarta Selatan"
"dr. Doni Friadi, Sp.JP (K), FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Doni Friadi, Sp.JP (K), FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Donny Yugo Hermanto, Sp.JP (K)",Siloam Hospitals TB Simatupang,-6.2922669,106.7844429,"Cilandak, Jakarta Selatan","dr. Donny Yugo Hermanto, Sp.JP (K) - Siloam Hospitals TB Simatupang"
"dr. Eddy Sunaryuniarto, Sp.JP (K), FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Eddy Sunaryuniarto, Sp.JP (K), FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Elfan Moeljono, Sp.JP, FIHA",Siloam Hospitals Jember,-8.174168,113.687541,"Kaliwates, Kabupaten Jember","dr. Elfan Moeljono, Sp.JP, FIHA - Siloam Hospitals Jember"
"dr. Elisa Feriyanti Pakpahan, Sp.JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Elisa Feriyanti Pakpahan, Sp.JP - Siloam Hospitals Kebon Jeruk"
"dr. Emmanoel Oepangat, Sp.JP (K), FIHA, FAPSIC",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Emmanoel Oepangat, Sp.JP (K), FIHA, FAPSIC - Siloam Hospitals Lippo Village"
"dr. Erdiansyah Zulyadaini, Sp.JP",RS Mitra Keluarga Slawi,-6.9647637,109.1389639,"Slawi, Tegal","dr. Erdiansyah Zulyadaini, Sp.JP - RS Mitra Keluarga Slawi"
"dr. Erika Maharani, Sp.JP",RS JIH Yogyakarta,-7.7575571,110.4035724,"Kecamatan Depok, Kabupaten Sleman","dr. Erika Maharani, Sp.JP - RS JIH Yogyakarta"
"dr. Erwin Surjana Setiawan, Sp.JP, FIHA",RS Mitra Keluarga Bekasi Timur,-6.2603214,107.012952,"Bekasi Timur, Bekasi","dr. Erwin Surjana Setiawan, Sp.JP, FIHA - RS Mitra Keluarga Bekasi Timur"
"dr. Esti Hindariati, Sp.JP (K), FIHA",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Esti Hindariati, Sp.JP (K), FIHA - Siloam Hospitals Surabaya"
"dr. Farah Mutiara Sari Harmani, Sp.JP",Siloam Hospitals Agora,-6.1673487,106.8760195,"Cempaka Putih, Jakarta Pusat","dr. Farah Mutiara Sari Harmani, Sp.JP - Siloam Hospitals Agora"
"dr. Fauzi Akira Nugraha, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Fauzi Akira Nugraha, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Felix Chikita Fredy, Sp.JP., FIHA",RS Bina Husada,-6.4731913,106.8635502,"Cibinong, Kabupaten Bogor","dr. Felix Chikita Fredy, Sp.JP., FIHA - RS Bina Husada"
"dr. Felix Fodianto, Sp.JP",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Felix Fodianto, Sp.JP - Siloam Hospitals Lippo Village"
"dr. Firman Tedjasukmana, Sp.JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Firman Tedjasukmana, Sp.JP - Siloam Hospitals Kebon Jeruk"
"dr. Fonny Meiliana Tedjo, Sp.JP",RS Mitra Keluarga Kalideres,-6.1495096,106.7021832,"Kalideres, Jakarta Barat","dr. Fonny Meiliana Tedjo, Sp.JP - RS Mitra Keluarga Kalideres"
"dr. Friens August Decroly Pardearan Sinaga, Sp. JP, FIHA",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Friens August Decroly Pardearan Sinaga, Sp. JP, FIHA - Siloam Hospitals Kebon Jeruk"
"Prof. Dr. dr. Ganesja Harimurti, Sp.JP (K)",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","Prof. Dr. dr. Ganesja Harimurti, Sp.JP (K) - Siloam Hospitals Kebon Jeruk"
"Prof. dr. Hamed Oemar, PhD., Sp.JP., FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","Prof. dr. Hamed Oemar, PhD., Sp.JP., FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Hardja Priatna, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Hardja Priatna, Sp.JP (K) - Siloam Hospitals Lippo Village"
"Prof. dr. Harris Hasan, Sp.PD, Sp.JP (K)",Siloam Hospitals Dhirga Surya Medan,35.858922,986.7359909,"Medan Petisah, Kota Medan","Prof. dr. Harris Hasan, Sp.PD, Sp.JP (K) - Siloam Hospitals Dhirga Surya Medan"
"dr. Hasjim Hasbullah, Sp.JP",Siloam Hospitals Bekasi Sepanjang Jaya,-6.2695159,106.9986949,"Rawalumbu, Bekasi","dr. Hasjim Hasbullah, Sp.JP - Siloam Hospitals Bekasi Sepanjang Jaya"
"DR. dr. Hendro Darmawan, MSc, Sp.JP, FIHA",Mayapada Hospital Bogor,-6.6079377,106.8110776,"Bogor Timur, Bogor","DR. dr. Hendro Darmawan, MSc, Sp.JP, FIHA - Mayapada Hospital Bogor"
"dr. Hengkie Frankie Lasanudin, Sp.JP (K), FIHA",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Hengkie Frankie Lasanudin, Sp.JP (K), FIHA - Mayapada Hospital Jakarta Selatan"
"dr. Herenda Medishita Herman Prasetya, Sp.JP, FIHA",Mayapada Hospital Tangerang,-6.2050294,106.6415185,"Tangerang, Tangerang","dr. Herenda Medishita Herman Prasetya, Sp.JP, FIHA - Mayapada Hospital Tangerang"
"dr. Himawan Wicaksono, Sp.JP",Siloam Hospitals Lippo Cikarang,-6.3313709,107.1351341,"Cikarang Selatan, Kabupaten Bekasi","dr. Himawan Wicaksono, Sp.JP - Siloam Hospitals Lippo Cikarang"
"dr. I Gusti Agung Bagus Krisna Jayantika, Sp.JP, FIHA",BIMC Hospitals Nusa Dua,-8.799159,115.2282951,"Kuta Selatan, Kabupaten Badung","dr. I Gusti Agung Bagus Krisna Jayantika, Sp.JP, FIHA - BIMC Hospitals Nusa Dua"
"dr. I Made Junior Rina Artha, Sp.JP",Siloam Hospitals Denpasar,-8.7150402,115.1854235,"Kuta, Kabupaten Badung","dr. I Made Junior Rina Artha, Sp.JP - Siloam Hospitals Denpasar"
"dr. I Made Putra Swi Antara, Sp.JP",Siloam Hospitals Denpasar,-8.7150402,115.1854235,"Kuta, Kabupaten Badung","dr. I Made Putra Swi Antara, Sp.JP - Siloam Hospitals Denpasar"
"dr. I Made Sakta Suryaguna, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. I Made Sakta Suryaguna, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. I Wayan Aryadana, Sp.JP (K), FIHA",Siloam Hospitals Denpasar,-8.7150402,115.1854235,"Kuta, Kabupaten Badung","dr. I Wayan Aryadana, Sp.JP (K), FIHA - Siloam Hospitals Denpasar"
"dr. Ika Komar Dhanudibroto, Sp.JP",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Ika Komar Dhanudibroto, Sp.JP - Mayapada Hospital Jakarta Selatan"
"dr. Ika Krisnawati, Sp.JP",RS Mitra Keluarga Kalideres,-6.1495096,106.7021832,"Kalideres, Jakarta Barat","dr. Ika Krisnawati, Sp.JP - RS Mitra Keluarga Kalideres"
"dr. Iman Yulianto Suhartono, Sp.JP",RS Mitra Keluarga Cikarang,-6.2923947,107.1511711,"Cikarang Utara, Kabupaten Bekasi","dr. Iman Yulianto Suhartono, Sp.JP - RS Mitra Keluarga Cikarang"
"dr. Indah Sukmawati Prihatiningsih, Sp.JP, FIHA",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Indah Sukmawati Prihatiningsih, Sp.JP, FIHA - Siloam Hospitals Lippo Village"
"Dr. dr. Indriwanto Sakidjan Atmosudigdo, Sp.JP (K), FIHA, Ph.D",Siloam Hospitals TB Simatupang,-6.2922669,106.7844429,"Cilandak, Jakarta Selatan","Dr. dr. Indriwanto Sakidjan Atmosudigdo, Sp.JP (K), FIHA, Ph.D - Siloam Hospitals TB Simatupang"
"dr. Ingrid Maria Pardede, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Ingrid Maria Pardede, Sp.JP (K) - Siloam Hospitals Lippo Village"
"dr. Ira Andaningsih, Sp.JP",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Ira Andaningsih, Sp.JP - Siloam Hospitals Lippo Village"
"dr. Irwan Gondosudijanto, Sp.JP., FIHA",RS Mitra Keluarga Surabaya,-7.2574719,112.7520883,"Sukomanunggal, Kota Surabaya","dr. Irwan Gondosudijanto, Sp.JP., FIHA - RS Mitra Keluarga Surabaya"
"dr. Isabella Lalenoh, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Isabella Lalenoh, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Isman Firdaus, Sp.JP(K), FIHA, FAsCC, FAPSIC, FESC, FSCAI",RS Mitra Keluarga Bekasi Timur,-6.2603214,107.012952,"Bekasi Timur, Bekasi","dr. Isman Firdaus, Sp.JP(K), FIHA, FAsCC, FAPSIC, FESC, FSCAI - RS Mitra Keluarga Bekasi Timur"
"dr. Iswanto Pratanu, Sp.JP (K), FIHA",RS Mitra Keluarga Surabaya,-7.2574719,112.7520883,"Sukomanunggal, Kota Surabaya","dr. Iswanto Pratanu, Sp.JP (K), FIHA - RS Mitra Keluarga Surabaya"
"dr. Ivan Satria Pratama, Sp.JP-FIHA",RS Mitra Keluarga Pondok Tjandra,-7.3445793,112.775427,"Waru, Kabupaten Sidoarjo","dr. Ivan Satria Pratama, Sp.JP-FIHA - RS Mitra Keluarga Pondok Tjandra"
"Dr. dr. Iwan Dakota, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","Dr. dr. Iwan Dakota, Sp.JP (K) - Siloam Hospitals Lippo Village"
"dr. Jeffrey Wirianta, Sp.JP, FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Jeffrey Wirianta, Sp.JP, FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Joeristanti Soelistyaningroem, Sp.JP",RS Mitra Keluarga Cibubur,-6.3755807,106.9184165,"Jatisampurna, Bekasi","dr. Joeristanti Soelistyaningroem, Sp.JP - RS Mitra Keluarga Cibubur"
"Dr. dr. Johanes Nugroho Eko Putranto, Sp.JP (K), FIHA, FAsCC",RS Mitra Keluarga Surabaya,-7.2574719,112.7520883,"Sukomanunggal, Kota Surabaya","Dr. dr. Johanes Nugroho Eko Putranto, Sp.JP (K), FIHA, FAsCC - RS Mitra Keluarga Surabaya"
"dr. Julio Ulaan, Sp.JP, FIHA",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Julio Ulaan, Sp.JP, FIHA - Siloam Hospitals Kebon Jeruk"
"dr. Juniarti Hatta, Sp.JP, FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Juniarti Hatta, Sp.JP, FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Kurnia Mebrillianttari, Sp.JP",RS Mitra Keluarga Kalideres,-6.1495096,106.7021832,"Kalideres, Jakarta Barat","dr. Kurnia Mebrillianttari, Sp.JP - RS Mitra Keluarga Kalideres"
"dr. Kurniawan Iskandarsyah Irsan, Sp.JP (K), FIHA",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Kurniawan Iskandarsyah Irsan, Sp.JP (K), FIHA - Mayapada Hospital Jakarta Selatan"
dr Lena Agustini SPJP,Kasih Ibu Hospital Denpasar,-8.6776375,115.2053008,"Denpasar Barat, Kota Denpasar",dr Lena Agustini SPJP - Kasih Ibu Hospital Denpasar
"dr. Leonardo Paskah Suciadi, Sp. JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Leonardo Paskah Suciadi, Sp. JP - Siloam Hospitals Kebon Jeruk"
"dr. Levina Tri Ratana, Sp.JP, FIHA",RS Mitra Keluarga Gading Serpong,-6.2496202,106.6099875,"Pagedangan, Kabupaten Tangerang","dr. Levina Tri Ratana, Sp.JP, FIHA - RS Mitra Keluarga Gading Serpong"
"dr. M. Djamal A. Hasan, Sp.JP",RS Mitra Keluarga Bekasi,-6.2407894,106.9928076,"Bekasi Selatan, Bekasi","dr. M. Djamal A. Hasan, Sp.JP - RS Mitra Keluarga Bekasi"
"dr. Marisa Khairani Hazrina, Sp.JP",Siloam Hospitals Bekasi Timur,-6.2567271,107.0085528,"Bekasi Timur, Bekasi","dr. Marisa Khairani Hazrina, Sp.JP - Siloam Hospitals Bekasi Timur"
"dr. Marshell Luntungan, Sp.JP",Siloam Hospitals Manado,14.876272,124.8376054,"Wenang, Kota Manado","dr. Marshell Luntungan, Sp.JP - Siloam Hospitals Manado"
"dr. Melisa Aziz, Sp.JP",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Melisa Aziz, Sp.JP - Siloam Hospitals Lippo Village"
"dr. Michael Sebastian Kawilarang, Sp.JP., FIHA",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Michael Sebastian Kawilarang, Sp.JP., FIHA - Siloam Hospitals Surabaya"
"dr. Mira Rahmawati, Sp.JP",Siloam Hospitals Purwakarta,-6.4887887,107.4769172,"Bungursari, Kabupaten Purwakarta","dr. Mira Rahmawati, Sp.JP - Siloam Hospitals Purwakarta"
"dr. Mochamad Yusuf, Sp.JP., PhD., FIHA., FESC",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Mochamad Yusuf, Sp.JP., PhD., FIHA., FESC - Siloam Hospitals Surabaya"
"dr. Mohammad Rizky Akbar, Sp.JP.,M.Kes",RS Bina Husada,-6.4731913,106.8635502,"Cibinong, Kabupaten Bogor","dr. Mohammad Rizky Akbar, Sp.JP.,M.Kes - RS Bina Husada"
"dr. Muhammad Barri Fahmi, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Muhammad Barri Fahmi, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Muhammad Ma'mun, Sp.JP",RS Mitra Keluarga Bekasi,-6.2407894,106.9928076,"Bekasi Selatan, Bekasi","dr. Muhammad Ma'mun, Sp.JP - RS Mitra Keluarga Bekasi"
"dr. Muhammad Rifqi Djamal Hasan, Sp.JP",RS Mitra Keluarga Kenjeran,-7.2513324,112.7849887,"Mulyorejo, Kota Surabaya","dr. Muhammad Rifqi Djamal Hasan, Sp.JP - RS Mitra Keluarga Kenjeran"
"dr. Muzakkir, Sp.JP",Siloam Hospitals Makassar,-5.1501241,119.407165,"Ujung Pandang, Kota Makassar","dr. Muzakkir, Sp.JP - Siloam Hospitals Makassar"
"dr. Nadia Mulyadi, Sp.JP",Mayapada Hospital Kuningan,-6.2186758,106.8314818,"Setiabudi, Jakarta Selatan","dr. Nadia Mulyadi, Sp.JP - Mayapada Hospital Kuningan"
"dr. Nathania Marliani Kristanti, Sp. JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Nathania Marliani Kristanti, Sp. JP - Siloam Hospitals Kebon Jeruk"
"dr. Ni Luh Putu Dian Asriana Putri, Sp.JP",Siloam Hospitals Mataram,-8.5937875,116.0987041,"Mataram, Kota Mataram","dr. Ni Luh Putu Dian Asriana Putri, Sp.JP - Siloam Hospitals Mataram"
"dr. Nicolaus Novian Wahjoepramono, Sp.JP",Siloam Hospitals Kelapa Dua,-6.240965,106.6107229,"Kelapa Dua, Kabupaten Tangerang","dr. Nicolaus Novian Wahjoepramono, Sp.JP - Siloam Hospitals Kelapa Dua"
"dr. Noorsasiwi, Sp.JP",RS Mitra Keluarga Depok,-6.3942172,106.823936,"Pancoran Mas, Depok","dr. Noorsasiwi, Sp.JP - RS Mitra Keluarga Depok"
"dr. Novita Setiawan Lim, Sp. JP",Mayapada Hospital Bandung,-6.9485807,107.6347498,"Bandung Kidul, Kota Bandung","dr. Novita Setiawan Lim, Sp. JP - Mayapada Hospital Bandung"
"dr. Nur Haryono, Sp.JP (K), FIHA",RS Yarsi,-6.1697915,106.8693086,"Cempaka Putih, Jakarta Pusat","dr. Nur Haryono, Sp.JP (K), FIHA - RS Yarsi"
"dr. Olfi Lelya, Sp.JP, FIHA",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Olfi Lelya, Sp.JP, FIHA - Mayapada Hospital Jakarta Selatan"
"dr. Olivia Handayani, Sp.JP",Mayapada Hospital Kuningan,-6.2186758,106.8314818,"Setiabudi, Jakarta Selatan","dr. Olivia Handayani, Sp.JP - Mayapada Hospital Kuningan"
"dr. Omar Mokhtar Siregar, M.Ked (Cardio)., Sp.Jp-FIHA",RS Mitra Keluarga Delta Mas,-6.352615,107.183062,"Cikarang Pusat, Kabupaten Bekasi","dr. Omar Mokhtar Siregar, M.Ked (Cardio)., Sp.Jp-FIHA - RS Mitra Keluarga Delta Mas"
"dr. Perhentian Aruslit Ginting, Sp.JP",Siloam Hospitals Balikpapan,-1.25224,116.87031,"Balikpapan Selatan, Kota Balikpapan","dr. Perhentian Aruslit Ginting, Sp.JP - Siloam Hospitals Balikpapan"
"dr. Poppy Surwianti Roebiono, Sp.JP (K)., FIHA",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Poppy Surwianti Roebiono, Sp.JP (K)., FIHA - Mayapada Hospital Jakarta Selatan"
"dr. Primasari Ragawanti, Sp.JP, FIHA",RS Bina Husada,-6.4731913,106.8635502,"Cibinong, Kabupaten Bogor","dr. Primasari Ragawanti, Sp.JP, FIHA - RS Bina Husada"
"dr. Priyo Sunarto, Sp.JP",Siloam Hospitals TB Simatupang,-6.2922669,106.7844429,"Cilandak, Jakarta Selatan","dr. Priyo Sunarto, Sp.JP - Siloam Hospitals TB Simatupang"
"dr. Pudjo Rahasto, Sp.JP, FIHA",Mayapada Hospital Tangerang,-6.2050294,106.6415185,"Tangerang, Tangerang","dr. Pudjo Rahasto, Sp.JP, FIHA - Mayapada Hospital Tangerang"
"dr. Raden Bayu Gurmilang, Sp.JP",Siloam Hospitals Purwakarta,-6.4887887,107.4769172,"Bungursari, Kabupaten Purwakarta","dr. Raden Bayu Gurmilang, Sp.JP - Siloam Hospitals Purwakarta"
"dr. Raden Mohammad Budiarto, Sp.JP., FIHA., FICA",RS Mitra Keluarga Waru,-7.3628187,112.7286459,"Waru, Kabupaten Sidoarjo","dr. Raden Mohammad Budiarto, Sp.JP., FIHA., FICA - RS Mitra Keluarga Waru"
"dr. Reynold Agustinus Manullang, Sp.JP (K)",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Reynold Agustinus Manullang, Sp.JP (K) - Siloam Hospitals Kebon Jeruk"
"dr. Richardus Rukma Juslim, Sp.JP., FIHA",RS Mitra Keluarga Waru,-7.3628187,112.7286459,"Waru, Kabupaten Sidoarjo","dr. Richardus Rukma Juslim, Sp.JP., FIHA - RS Mitra Keluarga Waru"
"dr. Rizki Astria Farindani, Sp.JP",RS Mitra Keluarga Pamulang,-6.3576137,106.7481627,"Pamulang, Tangerang Selatan","dr. Rizki Astria Farindani, Sp.JP - RS Mitra Keluarga Pamulang"
